GroupID,DataSource,SourceID,Address,Name,Case#,DateTime,CrimeType,Arrest
2,Crime,10233579,003XX N DEARBORN ST,,HY421827,2015-09-13T15:15:00.000,NARCOTICS,True
2,Crime,10832716,003XX N DEARBORN ST,,JA134689,2017-01-29T22:06:00.000,ASSAULT,True
2,Crime,1312120,003XX N DEARBORN ST,,G001580,2001-01-01T18:06:53.000,THEFT,False
2,Crime,1320031,003XX N DEARBORN ST,,G012966,2001-01-06T22:30:00.000,THEFT,True
2,Crime,1323443,003XX N DEARBORN ST,,G017658,2001-01-07T10:00:00.000,OTHER OFFENSE,False
2,Crime,1325347,003XX N DEARBORN ST,,G017048,2001-01-08T23:20:00.000,BATTERY,True
2,Crime,1331760,003XX N DEARBORN ST,,G027953,2001-01-13T19:50:00.000,ASSAULT,False
2,Crime,1346280,003XX N DEARBORN ST,,G047418,2001-01-17T12:00:00.000,THEFT,False
2,Crime,1355912,003XX N DEARBORN ST,,G060916,2001-01-29T21:45:00.000,THEFT,False
2,Crime,1361480,003XX N DEARBORN ST,,G067403,2001-01-26T17:00:00.000,THEFT,False
2,Crime,1376238,003XX N DEARBORN ST,,G085096,2001-02-10T21:42:00.000,CRIMINAL TRESPASS,True
2,Crime,1376293,003XX N DEARBORN ST,,G086422,2001-02-09T23:00:00.000,THEFT,False
2,Crime,1377381,003XX N DEARBORN ST,,G083363,2001-02-09T22:37:04.000,CRIMINAL TRESPASS,True
2,Crime,1380830,003XX N DEARBORN ST,,G089076,2001-02-12T23:30:00.000,BATTERY,True
2,Crime,1380859,003XX N DEARBORN ST,,G091309,2001-02-14T00:45:00.000,BATTERY,True
2,Crime,1384436,003XX N DEARBORN ST,,G091295,2001-02-14T01:00:00.000,BATTERY,False
2,Crime,1385462,003XX N DEARBORN ST,,G097179,2001-02-16T22:32:51.000,THEFT,False
2,Crime,1386108,003XX N DEARBORN ST,,G099050,2001-02-17T23:00:00.000,THEFT,False
2,Crime,1398160,003XX N DEARBORN ST,,G100774,2001-02-19T04:17:00.000,NARCOTICS,True
2,Crime,1402263,003XX N DEARBORN ST,,G971141,2001-02-23T15:15:00.000,THEFT,False
2,Crime,1404111,003XX N DEARBORN ST,,G116486,2001-02-27T21:00:56.000,CRIMINAL TRESPASS,True
2,Crime,1413851,003XX N DEARBORN ST,,G133389,2001-03-07T21:30:00.000,THEFT,False
2,Crime,1417707,003XX N DEARBORN ST,,G137950,2001-03-10T01:00:00.000,THEFT,False
2,Crime,1429635,003XX N DEARBORN ST,,G153776,2001-03-17T16:26:00.000,THEFT,False
2,Crime,1431714,003XX N DEARBORN ST,,G154527,2001-03-18T10:05:00.000,THEFT,False
2,Crime,1433741,003XX N DEARBORN ST,,G156397,2001-03-17T19:00:00.000,THEFT,False
2,Crime,1439171,003XX N DEARBORN ST,,G162743,2001-03-22T04:00:00.000,BURGLARY,False
2,Crime,1442492,003XX N DEARBORN ST,,G171150,2001-03-24T21:00:00.000,THEFT,False
2,Crime,1442967,003XX N DEARBORN ST,,G168958,2001-03-24T22:45:00.000,BATTERY,True
2,Crime,1444360,003XX N DEARBORN ST,,G167890,2001-03-23T19:00:00.000,MOTOR VEHICLE THEFT,False
2,Crime,1453497,003XX N DEARBORN ST,,G178693,2001-03-29T15:38:00.000,THEFT,False
2,Crime,1459899,003XX N DEARBORN ST,,G188890,2001-03-30T23:59:00.000,CRIMINAL DAMAGE,True
2,Crime,1463206,003XX N DEARBORN ST,,G192423,2001-04-05T08:37:07.000,THEFT,False
2,Crime,1463255,003XX N DEARBORN ST,,G194249,2001-04-05T23:45:10.000,DECEPTIVE PRACTICE,True
2,Crime,1466401,003XX N DEARBORN ST,,G200700,2001-04-08T22:00:00.000,THEFT,False
2,Crime,1469403,003XX N DEARBORN ST,,G199962,2001-04-07T19:49:00.000,THEFT,False
2,Crime,1469508,003XX N DEARBORN ST,,G199908,2001-04-07T19:49:00.000,THEFT,False
2,Crime,1473814,003XX N DEARBORN ST,,G204229,2001-04-10T15:45:00.000,CRIMINAL TRESPASS,True
2,Crime,1477706,003XX N DEARBORN ST,,G210472,2001-04-13T12:30:00.000,THEFT,True
2,Crime,1485033,003XX N DEARBORN ST,,G217556,2001-04-16T23:30:00.000,BATTERY,False
2,Crime,1489065,003XX N DEARBORN ST,,G228309,2001-04-21T23:48:00.000,BATTERY,True
2,Crime,1501012,003XX N DEARBORN ST,,G241529,2001-04-28T00:10:25.000,BATTERY,False
2,Crime,1501241,003XX N DEARBORN ST,,G241440,2001-04-27T23:30:00.000,CRIMINAL TRESPASS,True
2,Crime,1501252,003XX N DEARBORN ST,,G241579,2001-04-28T00:50:00.000,CRIMINAL TRESPASS,True
2,Crime,1507358,003XX N DEARBORN ST,,G251594,2001-04-21T22:00:00.000,THEFT,False
2,Crime,1511526,003XX N DEARBORN ST,,G257229,2001-05-04T20:45:00.000,THEFT,False
2,Crime,1516129,003XX N DEARBORN ST,,G263851,2001-05-08T01:30:00.000,THEFT,False
2,Crime,1521848,003XX N DEARBORN ST,,G259132,2001-05-05T23:01:33.000,CRIMINAL TRESPASS,True
2,Crime,1532836,003XX N DEARBORN ST,,G276650,2001-05-13T03:30:00.000,BATTERY,False
2,Crime,1537967,003XX N DEARBORN ST,,G290117,2001-05-19T14:00:00.000,MOTOR VEHICLE THEFT,True
2,Crime,1539519,003XX N DEARBORN ST,,G289231,2001-05-19T10:30:00.000,THEFT,False
2,Crime,1548937,003XX N DEARBORN ST,,G304506,2001-05-26T16:30:00.000,THEFT,False
2,Crime,1552910,003XX N DEARBORN ST,,G309368,2001-05-27T01:30:00.000,THEFT,False
2,Crime,1569724,003XX N DEARBORN ST,,G328601,2001-06-06T23:48:31.000,BATTERY,True
2,Crime,1571340,003XX N DEARBORN ST,,G330846,2001-06-08T01:00:00.000,CRIMINAL TRESPASS,True
2,Crime,1576063,003XX N DEARBORN ST,,G340404,2001-06-11T20:00:00.000,THEFT,False
2,Crime,1583716,003XX N DEARBORN ST,,G349973,2001-06-09T12:30:00.000,DECEPTIVE PRACTICE,False
2,Crime,1583804,003XX N DEARBORN ST,,G350451,2001-06-16T04:00:00.000,THEFT,False
2,Crime,1592771,003XX N DEARBORN ST,,G361582,2001-06-21T13:00:00.000,THEFT,False
2,Crime,1595729,003XX N DEARBORN ST,,G365569,2001-06-22T20:30:00.000,THEFT,False
2,Crime,1601958,003XX N DEARBORN ST,,G374017,2001-06-26T16:00:00.000,MOTOR VEHICLE THEFT,False
2,Crime,1602739,003XX N DEARBORN ST,,G368580,2001-06-24T21:37:47.000,BATTERY,True
2,Crime,1607478,003XX N DEARBORN ST,,G366707,2001-06-23T22:25:19.000,BATTERY,True
2,Crime,1607949,003XX N DEARBORN ST,,G382550,2001-07-01T00:15:00.000,THEFT,False
2,Crime,1608881,003XX N DEARBORN ST,,G380982,2001-06-29T22:30:00.000,THEFT,False
2,Crime,1610210,003XX N DEARBORN ST,,G380322,2001-06-29T19:30:00.000,BATTERY,False
2,Crime,1612531,003XX N DEARBORN ST,,G384518,2001-07-02T00:01:00.000,CRIMINAL TRESPASS,True
2,Crime,1613064,003XX N DEARBORN ST,,G388904,2001-07-03T22:30:00.000,THEFT,False
2,Crime,1618830,003XX N DEARBORN ST,,G396102,2001-07-06T18:00:00.000,MOTOR VEHICLE THEFT,False
2,Crime,1626765,003XX N DEARBORN ST,,G406760,2001-07-07T12:50:00.000,THEFT,False
2,Crime,1629429,003XX N DEARBORN ST,,G408267,2001-07-12T19:18:26.000,THEFT,False
2,Crime,1630204,003XX N DEARBORN ST,,G409938,2001-07-13T14:30:00.000,THEFT,False
2,Crime,1634635,003XX N DEARBORN ST,,G417674,2001-07-16T22:00:00.000,THEFT,False
2,Crime,1636961,003XX N DEARBORN ST,,G420155,2001-07-17T21:00:00.000,THEFT,False
2,Crime,1642384,003XX N DEARBORN ST,,G426009,2001-06-20T21:30:00.000,THEFT,False
2,Crime,1643704,003XX N DEARBORN ST,,G422432,2001-07-18T23:45:00.000,BATTERY,False
2,Crime,1644699,003XX N DEARBORN ST,,G422390,2001-07-18T22:25:00.000,ASSAULT,True
2,Crime,1666517,003XX N DEARBORN ST,,G455975,2001-08-02T17:00:00.000,THEFT,False
2,Crime,1667048,003XX N DEARBORN ST,,G457141,2001-07-22T01:00:00.000,THEFT,False
2,Crime,1672237,003XX N DEARBORN ST,,G462712,2001-08-05T15:00:00.000,THEFT,False
2,Crime,1673242,003XX N DEARBORN ST,,G466331,2001-08-07T05:00:00.000,THEFT,False
2,Crime,1673279,003XX N DEARBORN ST,,G466336,2001-08-07T05:00:00.000,THEFT,False
2,Crime,1682487,003XX N DEARBORN ST,,G476725,2001-08-11T14:00:00.000,THEFT,False
2,Crime,1683551,003XX N DEARBORN ST,,G478952,2001-08-12T15:00:00.000,THEFT,False
2,Crime,1689266,003XX N DEARBORN ST,,G485051,2001-08-15T00:00:00.000,THEFT,False
2,Crime,1696647,003XX N DEARBORN ST,,G492849,2001-08-18T17:55:07.000,THEFT,False
2,Crime,1697450,003XX N DEARBORN ST,,G496331,2001-08-19T04:00:00.000,THEFT,False
2,Crime,1705454,003XX N DEARBORN ST,,G501479,2001-08-22T18:09:16.000,THEFT,False
2,Crime,1705955,003XX N DEARBORN ST,,G506198,2001-08-24T20:00:00.000,THEFT,False
2,Crime,1715575,003XX N DEARBORN ST,,G480900,2001-08-12T22:30:00.000,BATTERY,False
2,Crime,1715813,003XX N DEARBORN ST,,G513428,2001-08-28T00:10:00.000,BATTERY,False
2,Crime,1715895,003XX N DEARBORN ST,,G497509,2001-08-20T21:40:00.000,ASSAULT,False
2,Crime,1716409,003XX N DEARBORN ST,,G517744,2001-08-29T22:00:00.000,BATTERY,True
3,Yelp,x1n82y4si2wajmqMD3Og4w,"60 E Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",Abou Andre,,,,
3,Crime,11223019,0000X E JACKSON BLVD,,JB141301,2018-02-04T20:27:00.000,ASSAULT,False
3,Crime,11228913,0000X E JACKSON BLVD,,JB149502,2018-02-12T14:00:00.000,CRIMINAL TRESPASS,True
3,Crime,11228861,0000X E JACKSON BLVD,,JB149486,2018-02-12T12:00:00.000,BATTERY,False
3,Crime,11229021,0000X E JACKSON BLVD,,JB149492,2018-02-12T14:05:00.000,BATTERY,False
3,Crime,10064719,0000X E JACKSON BLVD,,HY253307,2015-05-09T11:30:00.000,THEFT,False
3,Crime,10098410,0000X E JACKSON BLVD,,HY286619,2015-06-03T15:47:00.000,THEFT,False
3,Crime,11231790,0000X E JACKSON BLVD,,JB153591,2018-02-15T18:30:00.000,DECEPTIVE PRACTICE,False
3,Crime,11230908,0000X E JACKSON BLVD,,JB152341,2018-02-14T18:10:00.000,THEFT,False
3,Crime,11233089,0000X E JACKSON BLVD,,JB155326,2018-02-17T10:00:00.000,THEFT,False
3,Crime,11234746,0000X E JACKSON BLVD,,JB157287,2018-02-19T08:20:00.000,BATTERY,False
3,Crime,11235910,0000X E JACKSON BLVD,,JB159297,2018-02-20T13:30:00.000,DECEPTIVE PRACTICE,False
3,Crime,11235914,0000X E JACKSON BLVD,,JB159296,2018-02-20T13:30:00.000,THEFT,False
3,Crime,11235466,0000X E JACKSON BLVD,,JB158621,2018-02-12T16:30:00.000,THEFT,False
3,Crime,11243399,0000X E JACKSON BLVD,,JB168961,2018-02-28T16:30:00.000,THEFT,False
3,Crime,11243720,0000X E JACKSON BLVD,,JB169279,2018-02-28T20:55:00.000,ASSAULT,False
3,Crime,11242203,0000X E JACKSON BLVD,,JB167137,2018-02-27T11:15:00.000,ASSAULT,True
3,Crime,11244281,0000X E JACKSON BLVD,,JB170029,2018-03-01T16:15:00.000,THEFT,False
3,Crime,11247628,0000X E JACKSON BLVD,,JB174490,2018-03-03T13:00:00.000,THEFT,False
3,Crime,11246587,0000X E JACKSON BLVD,,JB173152,2018-03-03T13:00:00.000,THEFT,False
3,Crime,11237037,0000X E JACKSON BLVD,,JB160527,2018-02-21T18:20:00.000,ROBBERY,True
3,Crime,11249412,0000X E JACKSON BLVD,,JB176899,2018-03-07T12:06:00.000,CRIMINAL TRESPASS,True
3,Crime,10164175,0000X E JACKSON BLVD,,HY352358,2015-07-22T10:50:00.000,DECEPTIVE PRACTICE,True
3,Crime,10286661,0000X E JACKSON BLVD,,HY474643,2015-10-22T20:30:00.000,THEFT,False
3,Crime,10308981,0000X E JACKSON BLVD,,HY497877,2015-11-11T12:00:00.000,BURGLARY,False
3,Crime,10361390,0000X E JACKSON BLVD,,HY553054,2015-12-28T19:14:00.000,BATTERY,True
3,Crime,10803967,0000X E JACKSON BLVD,,JA103075,2017-01-03T13:00:00.000,THEFT,False
3,Crime,10806359,0000X E JACKSON BLVD,,JA105221,2017-01-05T14:45:00.000,CRIMINAL TRESPASS,True
3,Crime,10822069,0000X E JACKSON BLVD,,JA122759,2017-01-12T17:23:00.000,DECEPTIVE PRACTICE,False
3,Crime,10823381,0000X E JACKSON BLVD,,JA124463,2017-01-21T14:10:00.000,THEFT,False
3,Crime,10823386,0000X E JACKSON BLVD,,JA124464,2017-01-21T14:10:00.000,DECEPTIVE PRACTICE,False
3,Crime,10828133,0000X E JACKSON BLVD,,JA129377,2017-01-25T10:00:00.000,CRIMINAL TRESPASS,True
3,Crime,10836148,0000X E JACKSON BLVD,,JA138012,2017-02-01T12:45:00.000,THEFT,False
3,Crime,10837085,0000X E JACKSON BLVD,,JA139179,2017-02-02T12:40:00.000,THEFT,False
3,Crime,10837241,0000X E JACKSON BLVD,,JA139375,2017-02-01T21:08:00.000,DECEPTIVE PRACTICE,False
